date,subways_total_estimated_ridership,subways_%_of_comparable_pre_pandemic_day,buses_total_estimated_ridership,buses_%_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_%_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_%_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_%_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_%_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_%_of_comparable_pre_pandemic_day,weekday,is_weekend,total_ridership,pct_change_vs_2019,outlier
2020-03-01,2212965,97,984908,99,86790,100,55825,59,19922,113,786960,98,1636,52,6,1,3362046,3430659.18367347,0
2020-03-02,5329915,96,2209066,99,321569,103,180701,66,30338,102,874619,95,17140,107,0,0,8088729,8514451.578947369,0
2020-03-03,5481103,98,2228608,99,319727,102,190648,69,32767,110,882175,96,17453,109,1,0,8270306,8614902.083333332,0
2020-03-04,5498809,99,2177165,97,311662,99,192689,70,34297,115,905558,98,17136,107,2,0,8231758,8399753.06122449,0
2020-03-05,5496453,99,2244515,100,307597,98,194386,70,33209,112,929298,101,17203,108,3,0,8293363,8211250.495049505,0
2020-03-06,5189447,93,2066743,92,289171,92,205056,74,30970,104,945408,103,15285,96,4,0,7796672,7569584.466019417,0
2020-03-07,2814637,92,1249085,94,106058,98,75838,56,18117,107,827907,95,2445,48,5,1,4266180,4490715.789473684,0
2020-03-08,2120656,93,957163,96,81565,94,60800,64,19477,111,765083,95,1672,53,6,1,3241333,3411929.473684211,0
2020-03-09,4973513,89,2124770,95,277001,88,183953,67,29609,100,860073,93,16122,101,0,0,7604968,8177384.946236558,0
2020-03-10,4867818,87,2111989,94,259324,83,179050,65,31315,105,855585,93,15805,99,1,0,7465301,8027205.376344086,0
2020-03-11,4697122,84,2112967,94,245798,78,175074,63,32198,108,866706,94,15340,96,2,0,7278499,7743084.042553192,0
2020-03-12,4149505,75,1938424,86,197178,63,169547,61,30814,104,881188,96,14169,89,3,0,6499637,6770455.208333333,0
2020-03-13,3484996,63,1715737,77,158582,51,167176,61,26640,90,860419,93,11769,74,4,0,5564900,5983763.440860215,0
2020-03-14,1670665,54,993287,75,44885,42,39701,29,13394,79,631101,72,2135,42,5,1,2764067,3838981.9444444445,0
2020-03-15,1157711,51,711555,72,33407,38,32641,35,12480,71,535987,66,1368,43,6,1,1949162,2953275.757575758,0
2020-03-16,2178555,39,1237309,55,119333,38,153262,56,21145,71,708869,77,5741,36,0,0,3715345,4825123.376623376,0
2020-03-17,1788786,32,1094949,49,83578,27,147391,53,18173,61,650444,71,4573,29,1,0,3137450,4418943.661971831,0
