date,service,total_ridership,avg_ridership,stdev_ridership,is_outlier
2020-03-01,subway,2212965,2509054.9794841735,1062183.680628766,False
2020-03-02,subway,5329915,2509054.9794841735,1062183.680628766,False
2020-03-03,subway,5481103,2509054.9794841735,1062183.680628766,False
2020-03-04,subway,5498809,2509054.9794841735,1062183.680628766,False
2020-03-05,subway,5496453,2509054.9794841735,1062183.680628766,False
2020-03-06,subway,5189447,2509054.9794841735,1062183.680628766,False
2020-03-07,subway,2814637,2509054.9794841735,1062183.680628766,False
2020-03-08,subway,2120656,2509054.9794841735,1062183.680628766,False
2020-03-09,subway,4973513,2509054.9794841735,1062183.680628766,False
2020-03-10,subway,4867818,2509054.9794841735,1062183.680628766,False
2020-03-11,subway,4697122,2509054.9794841735,1062183.680628766,False
2020-03-12,subway,4149505,2509054.9794841735,1062183.680628766,False
2020-03-13,subway,3484996,2509054.9794841735,1062183.680628766,False
2020-03-14,subway,1670665,2509054.9794841735,1062183.680628766,False
2020-03-15,subway,1157711,2509054.9794841735,1062183.680628766,False
2020-03-16,subway,2178555,2509054.9794841735,1062183.680628766,False
2020-03-17,subway,1788786,2509054.9794841735,1062183.680628766,False
2020-03-18,subway,1625280,2509054.9794841735,1062183.680628766,False
2020-03-19,subway,1422112,2509054.9794841735,1062183.680628766,False
2020-03-20,subway,1309125,2509054.9794841735,1062183.680628766,False
2020-03-21,subway,619618,2509054.9794841735,1062183.680628766,False
2020-03-22,subway,408723,2509054.9794841735,1062183.680628766,False
2020-03-23,subway,709499,2509054.9794841735,1062183.680628766,False
2020-03-24,subway,741587,2509054.9794841735,1062183.680628766,False
2020-03-25,subway,690032,2509054.9794841735,1062183.680628766,False
2020-03-26,subway,680360,2509054.9794841735,1062183.680628766,False
2020-03-27,subway,656817,2509054.9794841735,1062183.680628766,False
2020-03-28,subway,332393,2509054.9794841735,1062183.680628766,False
2020-03-29,subway,263700,2509054.9794841735,1062183.680628766,False
2020-03-30,subway,545215,2509054.9794841735,1062183.680628766,False
2020-03-31,subway,508106,2509054.9794841735,1062183.680628766,False
2020-04-01,subway,513481,2509054.9794841735,1062183.680628766,False
2020-04-02,subway,485586,2509054.9794841735,1062183.680628766,False
2020-04-03,subway,483357,2509054.9794841735,1062183.680628766,False
2020-04-04,subway,282278,2509054.9794841735,1062183.680628766,False
2020-04-05,subway,227303,2509054.9794841735,1062183.680628766,False
2020-04-06,subway,445454,2509054.9794841735,1062183.680628766,False
2020-04-07,subway,434986,2509054.9794841735,1062183.680628766,False
2020-04-08,subway,427485,2509054.9794841735,1062183.680628766,False
2020-04-09,subway,404635,2509054.9794841735,1062183.680628766,False
2020-04-10,subway,400275,2509054.9794841735,1062183.680628766,False
2020-04-11,subway,257061,2509054.9794841735,1062183.680628766,False
2020-04-12,subway,198399,2509054.9794841735,1062183.680628766,False
2020-04-13,subway,363312,2509054.9794841735,1062183.680628766,False
2020-04-14,subway,430155,2509054.9794841735,1062183.680628766,False
2020-04-15,subway,419059,2509054.9794841735,1062183.680628766,False
2020-04-16,subway,420223,2509054.9794841735,1062183.680628766,False
2020-04-17,subway,432368,2509054.9794841735,1062183.680628766,False
2020-04-18,subway,254453,2509054.9794841735,1062183.680628766,False
2020-04-19,subway,224411,2509054.9794841735,1062183.680628766,False
2020-04-20,subway,437852,2509054.9794841735,1062183.680628766,False
2020-04-21,subway,422107,2509054.9794841735,1062183.680628766,False
2020-04-22,subway,458781,2509054.9794841735,1062183.680628766,False
2020-04-23,subway,453520,2509054.9794841735,1062183.680628766,False
2020-04-24,subway,443956,2509054.9794841735,1062183.680628766,False
2020-04-25,subway,295387,2509054.9794841735,1062183.680628766,False
2020-04-26,subway,218787,2509054.9794841735,1062183.680628766,False
2020-04-27,subway,462888,2509054.9794841735,1062183.680628766,False
2020-04-28,subway,489247,2509054.9794841735,1062183.680628766,False
2020-04-29,subway,477799,2509054.9794841735,1062183.680628766,False
2020-04-30,subway,465869,2509054.9794841735,1062183.680628766,False
2020-05-01,subway,494549,2509054.9794841735,1062183.680628766,False
2020-05-02,subway,325865,2509054.9794841735,1062183.680628766,False
2020-05-03,subway,258865,2509054.9794841735,1062183.680628766,False
