date,service,total_ridership
2020-03-01,access_a_ride,19922.0
2020-03-01,bridges_and_tunnels,786960.0
2020-03-01,bus,984908.0
2020-03-01,lirr,86790.0
2020-03-01,metro_north,55825.0
2020-03-01,staten_island_railway,1636.0
2020-03-01,subway,2212965.0
2020-03-02,access_a_ride,30338.0
2020-03-02,bridges_and_tunnels,874619.0
2020-03-02,bus,2209066.0
2020-03-02,lirr,321569.0
2020-03-02,metro_north,180701.0
2020-03-02,staten_island_railway,17140.0
2020-03-02,subway,5329915.0
2020-03-03,access_a_ride,32767.0
2020-03-03,bridges_and_tunnels,882175.0
2020-03-03,bus,2228608.0
2020-03-03,lirr,319727.0
2020-03-03,metro_north,190648.0
2020-03-03,staten_island_railway,17453.0
2020-03-03,subway,5481103.0
2020-03-04,access_a_ride,34297.0
2020-03-04,bridges_and_tunnels,905558.0
2020-03-04,bus,2177165.0
2020-03-04,lirr,311662.0
2020-03-04,metro_north,192689.0
2020-03-04,staten_island_railway,17136.0
2020-03-04,subway,5498809.0
2020-03-05,access_a_ride,33209.0
2020-03-05,bridges_and_tunnels,929298.0
2020-03-05,bus,2244515.0
2020-03-05,lirr,307597.0
2020-03-05,metro_north,194386.0
2020-03-05,staten_island_railway,17203.0
2020-03-05,subway,5496453.0
2020-03-06,access_a_ride,30970.0
2020-03-06,bridges_and_tunnels,945408.0
2020-03-06,bus,2066743.0
2020-03-06,lirr,289171.0
2020-03-06,metro_north,205056.0
2020-03-06,staten_island_railway,15285.0
2020-03-06,subway,5189447.0
2020-03-07,access_a_ride,18117.0
2020-03-07,bridges_and_tunnels,827907.0
2020-03-07,bus,1249085.0
2020-03-07,lirr,106058.0
2020-03-07,metro_north,75838.0
2020-03-07,staten_island_railway,2445.0
2020-03-07,subway,2814637.0
2020-03-08,access_a_ride,19477.0
2020-03-08,bridges_and_tunnels,765083.0
2020-03-08,bus,957163.0
2020-03-08,lirr,81565.0
2020-03-08,metro_north,60800.0
2020-03-08,staten_island_railway,1672.0
2020-03-08,subway,2120656.0
2020-03-09,access_a_ride,29609.0
2020-03-09,bridges_and_tunnels,860073.0
2020-03-09,bus,2124770.0
2020-03-09,lirr,277001.0
2020-03-09,metro_north,183953.0
2020-03-09,staten_island_railway,16122.0
2020-03-09,subway,4973513.0
2020-03-10,access_a_ride,31315.0
2020-03-10,bridges_and_tunnels,855585.0
2020-03-10,bus,2111989.0
2020-03-10,lirr,259324.0
2020-03-10,metro_north,179050.0
2020-03-10,staten_island_railway,15805.0
2020-03-10,subway,4867818.0
2020-03-11,access_a_ride,32198.0
2020-03-11,bridges_and_tunnels,866706.0
2020-03-11,bus,2112967.0
2020-03-11,lirr,245798.0
2020-03-11,metro_north,175074.0
2020-03-11,staten_island_railway,15340.0
2020-03-11,subway,4697122.0
2020-03-12,access_a_ride,30814.0
2020-03-12,bridges_and_tunnels,881188.0
2020-03-12,bus,1938424.0
2020-03-12,lirr,197178.0
2020-03-12,metro_north,169547.0
2020-03-12,staten_island_railway,14169.0
2020-03-12,subway,4149505.0
2020-03-13,access_a_ride,26640.0
2020-03-13,bridges_and_tunnels,860419.0
2020-03-13,bus,1715737.0
2020-03-13,lirr,158582.0
2020-03-13,metro_north,167176.0
2020-03-13,staten_island_railway,11769.0
2020-03-13,subway,3484996.0
2020-03-14,access_a_ride,13394.0
2020-03-14,bridges_and_tunnels,631101.0
2020-03-14,bus,993287.0
2020-03-14,lirr,44885.0
2020-03-14,metro_north,39701.0
2020-03-14,staten_island_railway,2135.0
2020-03-14,subway,1670665.0
2020-03-15,access_a_ride,12480.0
2020-03-15,bridges_and_tunnels,535987.0
2020-03-15,bus,711555.0
2020-03-15,lirr,33407.0
2020-03-15,metro_north,32641.0
2020-03-15,staten_island_railway,1368.0
2020-03-15,subway,1157711.0
2020-03-16,access_a_ride,21145.0
2020-03-16,bridges_and_tunnels,708869.0
2020-03-16,bus,1237309.0
2020-03-16,lirr,119333.0
2020-03-16,metro_north,153262.0
2020-03-16,staten_island_railway,5741.0
2020-03-16,subway,2178555.0
2020-03-17,access_a_ride,18173.0
2020-03-17,bridges_and_tunnels,650444.0
2020-03-17,bus,1094949.0
2020-03-17,lirr,83578.0
2020-03-17,metro_north,147391.0
2020-03-17,staten_island_railway,4573.0
2020-03-17,subway,1788786.0
2020-03-18,access_a_ride,15942.0
2020-03-18,bridges_and_tunnels,634853.0
2020-03-18,bus,1059502.0
2020-03-18,lirr,74883.0
2020-03-18,metro_north,146118.0
2020-03-18,staten_island_railway,4133.0
2020-03-18,subway,1625280.0
2020-03-19,access_a_ride,14116.0
2020-03-19,bridges_and_tunnels,569696.0
2020-03-19,bus,933602.0
2020-03-19,lirr,59538.0
2020-03-19,metro_north,144466.0
2020-03-19,staten_island_railway,3452.0
2020-03-19,subway,1422112.0
2020-03-20,access_a_ride,12744.0
2020-03-20,bridges_and_tunnels,563261.0
2020-03-20,bus,868602.0
2020-03-20,lirr,50021.0
2020-03-20,metro_north,145160.0
2020-03-20,staten_island_railway,3124.0
2020-03-20,subway,1309125.0
2020-03-21,access_a_ride,6467.0
2020-03-21,bridges_and_tunnels,382992.0
2020-03-21,bus,411491.0
2020-03-21,lirr,12438.0
2020-03-21,metro_north,23700.0
2020-03-21,staten_island_railway,1044.0
2020-03-21,subway,619618.0
2020-03-22,access_a_ride,4824.0
2020-03-22,bridges_and_tunnels,277050.0
2020-03-22,bus,73517.0
2020-03-22,lirr,8891.0
2020-03-22,metro_north,20830.0
2020-03-22,staten_island_railway,641.0
2020-03-22,subway,408723.0
2020-03-23,access_a_ride,9902.0
2020-03-23,bridges_and_tunnels,361513.0
2020-03-23,bus,59321.0
2020-03-23,lirr,30564.0
2020-03-23,metro_north,139285.0
2020-03-23,staten_island_railway,1639.0
2020-03-23,subway,709499.0
2020-03-24,access_a_ride,9133.0
2020-03-24,bridges_and_tunnels,395493.0
2020-03-24,bus,60334.0
2020-03-24,lirr,29785.0
2020-03-24,metro_north,139194.0
2020-03-24,staten_island_railway,1727.0
2020-03-24,subway,741587.0
2020-03-25,access_a_ride,9512.0
2020-03-25,bridges_and_tunnels,375767.0
2020-03-25,bus,51769.0
2020-03-25,lirr,26143.0
2020-03-25,metro_north,138239.0
2020-03-25,staten_island_railway,1572.0
2020-03-25,subway,690032.0
2020-03-26,access_a_ride,8795.0
2020-03-26,bridges_and_tunnels,390117.0
2020-03-26,bus,49970.0
2020-03-26,lirr,23809.0
2020-03-26,metro_north,138668.0
2020-03-26,staten_island_railway,1563.0
2020-03-26,subway,680360.0
2020-03-27,access_a_ride,8409.0
2020-03-27,bridges_and_tunnels,396777.0
2020-03-27,bus,45514.0
2020-03-27,lirr,20355.0
2020-03-27,metro_north,138903.0
2020-03-27,staten_island_railway,1495.0
2020-03-27,subway,656817.0
2020-03-28,access_a_ride,4491.0
2020-03-28,bridges_and_tunnels,240702.0
2020-03-28,bus,19745.0
2020-03-28,lirr,5279.0
2020-03-28,metro_north,19088.0
2020-03-28,staten_island_railway,600.0
2020-03-28,subway,332393.0
2020-03-29,access_a_ride,3374.0
2020-03-29,bridges_and_tunnels,197154.0
2020-03-29,bus,14307.0
2020-03-29,lirr,4358.0
2020-03-29,metro_north,18152.0
2020-03-29,staten_island_railway,419.0
2020-03-29,subway,263700.0
2020-03-30,access_a_ride,8084.0
2020-03-30,bridges_and_tunnels,344689.0
2020-03-30,bus,33659.0
2020-03-30,lirr,19741.0
2020-03-30,metro_north,137762.0
2020-03-30,staten_island_railway,1140.0
2020-03-30,subway,545215.0
2020-03-31,access_a_ride,7672.0
2020-03-31,bridges_and_tunnels,337626.0
2020-03-31,bus,32211.0
2020-03-31,lirr,16194.0
2020-03-31,metro_north,137464.0
2020-03-31,staten_island_railway,1043.0
2020-03-31,subway,508106.0
2020-04-01,access_a_ride,8151.0
2020-04-01,bridges_and_tunnels,342221.0
2020-04-01,bus,29373.0
2020-04-01,lirr,10548.0
2020-04-01,metro_north,9300.0
2020-04-01,staten_island_railway,720.0
2020-04-01,subway,513481.0
2020-04-02,access_a_ride,7077.0
2020-04-02,bridges_and_tunnels,339734.0
2020-04-02,bus,26788.0
2020-04-02,lirr,10057.0
2020-04-02,metro_north,9492.0
2020-04-02,staten_island_railway,882.0
2020-04-02,subway,485586.0
2020-04-03,access_a_ride,7794.0
2020-04-03,bridges_and_tunnels,340272.0
2020-04-03,bus,24418.0
2020-04-03,lirr,9657.0
2020-04-03,metro_north,9770.0
2020-04-03,staten_island_railway,843.0
2020-04-03,subway,483357.0
2020-04-04,access_a_ride,4375.0
2020-04-04,bridges_and_tunnels,243323.0
2020-04-04,bus,13168.0
2020-04-04,lirr,3727.0
2020-04-04,metro_north,4451.0
2020-04-04,staten_island_railway,425.0
2020-04-04,subway,282278.0
2020-04-05,access_a_ride,2763.0
2020-04-05,bridges_and_tunnels,209151.0
2020-04-05,bus,9748.0
2020-04-05,lirr,2969.0
2020-04-05,metro_north,3601.0
2020-04-05,staten_island_railway,300.0
2020-04-05,subway,227303.0
2020-04-06,access_a_ride,7093.0
2020-04-06,bridges_and_tunnels,335768.0
2020-04-06,bus,22418.0
2020-04-06,lirr,10127.0
2020-04-06,metro_north,9832.0
2020-04-06,staten_island_railway,819.0
2020-04-06,subway,445454.0
2020-04-07,access_a_ride,7041.0
2020-04-07,bridges_and_tunnels,335469.0
2020-04-07,bus,21623.0
2020-04-07,lirr,9312.0
2020-04-07,metro_north,9589.0
2020-04-07,staten_island_railway,732.0
2020-04-07,subway,434986.0
2020-04-08,access_a_ride,6950.0
2020-04-08,bridges_and_tunnels,324881.0
2020-04-08,bus,20361.0
2020-04-08,lirr,9039.0
2020-04-08,metro_north,9292.0
2020-04-08,staten_island_railway,721.0
2020-04-08,subway,427485.0
2020-04-09,access_a_ride,6243.0
2020-04-09,bridges_and_tunnels,303480.0
2020-04-09,bus,18734.0
2020-04-09,lirr,8413.0
2020-04-09,metro_north,8931.0
2020-04-09,staten_island_railway,690.0
2020-04-09,subway,404635.0
2020-04-10,access_a_ride,5378.0
2020-04-10,bridges_and_tunnels,314099.0
2020-04-10,bus,17135.0
2020-04-10,lirr,8247.0
2020-04-10,metro_north,9573.0
2020-04-10,staten_island_railway,672.0
2020-04-10,subway,400275.0
2020-04-11,access_a_ride,4235.0
2020-04-11,bridges_and_tunnels,254754.0
2020-04-11,bus,9718.0
2020-04-11,lirr,2749.0
2020-04-11,metro_north,4179.0
2020-04-11,staten_island_railway,406.0
2020-04-11,subway,257061.0
2020-04-12,access_a_ride,2525.0
2020-04-12,bridges_and_tunnels,217871.0
2020-04-12,bus,7041.0
2020-04-12,lirr,2245.0
2020-04-12,metro_north,3281.0
2020-04-12,staten_island_railway,294.0
2020-04-12,subway,198399.0
2020-04-13,access_a_ride,6205.0
2020-04-13,bridges_and_tunnels,284608.0
2020-04-13,bus,14408.0
2020-04-13,lirr,8192.0
2020-04-13,metro_north,8824.0
2020-04-13,staten_island_railway,649.0
2020-04-13,subway,363312.0
2020-04-14,access_a_ride,6585.0
2020-04-14,bridges_and_tunnels,356104.0
2020-04-14,bus,17937.0
2020-04-14,lirr,8816.0
2020-04-14,metro_north,9592.0
2020-04-14,staten_island_railway,791.0
2020-04-14,subway,430155.0
2020-04-15,access_a_ride,6928.0
2020-04-15,bridges_and_tunnels,340212.0
2020-04-15,bus,16895.0
2020-04-15,lirr,8596.0
2020-04-15,metro_north,9492.0
2020-04-15,staten_island_railway,792.0
2020-04-15,subway,419059.0
2020-04-16,access_a_ride,6563.0
2020-04-16,bridges_and_tunnels,346341.0
2020-04-16,bus,16632.0
2020-04-16,lirr,8462.0
2020-04-16,metro_north,9528.0
2020-04-16,staten_island_railway,790.0
2020-04-16,subway,420223.0
2020-04-17,access_a_ride,7048.0
