month,service,total_ridership
2020-03-01,access_a_ride,558330.0
2020-03-01,bridges_and_tunnels,19235070.0
2020-03-01,bus,31871784.0
2020-03-01,lirr,3625224.0
2020-03-01,metro_north,3890767.0
2020-03-01,staten_island_railway,200584.0
2020-03-01,subway,73625223.0
2020-04-01,access_a_ride,181852.0
2020-04-01,bridges_and_tunnels,9916205.0
2020-04-01,bus,471515.0
2020-04-01,lirr,217333.0
2020-04-01,metro_north,244337.0
2020-04-01,staten_island_railway,19677.0
2020-04-01,subway,11730474.0
2020-05-01,access_a_ride,236658.0
2020-05-01,bridges_and_tunnels,15211624.0
2020-05-01,bus,410704.0
2020-05-01,lirr,501928.0
2020-05-01,metro_north,335868.0
2020-05-01,staten_island_railway,23457.0
2020-05-01,subway,15275851.0
2020-06-01,access_a_ride,346437.0
2020-06-01,bridges_and_tunnels,20315413.0
2020-06-01,bus,658374.0
2020-06-01,lirr,1196635.0
2020-06-01,metro_north,617791.0
2020-06-01,staten_island_railway,41174.0
2020-06-01,subway,23928304.0
2020-07-01,access_a_ride,445334.0
2020-07-01,bridges_and_tunnels,23662900.0
2020-07-01,bus,828108.0
2020-07-01,lirr,1788497.0
2020-07-01,metro_north,914255.0
2020-07-01,staten_island_railway,62300.0
2020-07-01,subway,32508961.0
2020-08-01,access_a_ride,484181.0
2020-08-01,bridges_and_tunnels,24767977.0
2020-08-01,bus,1609110.0
2020-08-01,lirr,1878247.0
2020-08-01,metro_north,954881.0
2020-08-01,staten_island_railway,67904.0
2020-08-01,subway,35197734.0
2020-09-01,access_a_ride,527994.0
2020-09-01,bridges_and_tunnels,24342825.0
2020-09-01,bus,28067094.0
2020-09-01,lirr,2257943.0
2020-09-01,metro_north,1162214.0
2020-09-01,staten_island_railway,77014.0
2020-09-01,subway,42790545.0
2020-10-01,access_a_ride,575534.0
2020-10-01,bridges_and_tunnels,24782515.0
2020-10-01,bus,30114260.0
2020-10-01,lirr,2243992.0
2020-10-01,metro_north,1291434.0
2020-10-01,staten_island_railway,86142.0
2020-10-01,subway,47947097.0
2020-11-01,access_a_ride,541428.0
2020-11-01,bridges_and_tunnels,22204031.0
2020-11-01,bus,27049641.0
2020-11-01,lirr,2127055.0
2020-11-01,metro_north,1071116.0
2020-11-01,staten_island_railway,71913.0
2020-11-01,subway,43624401.0
2020-12-01,access_a_ride,543732.0
2020-12-01,bridges_and_tunnels,21664300.0
2020-12-01,bus,26307109.0
2020-12-01,lirr,1979870.0
2020-12-01,metro_north,1005936.0
2020-12-01,staten_island_railway,71752.0
2020-12-01,subway,43468179.0
2021-01-01,access_a_ride,516280.0
2021-01-01,bridges_and_tunnels,21090759.0
2021-01-01,bus,25035873.0
2021-01-01,lirr,1686485.0
2021-01-01,metro_north,939998.0
2021-01-01,staten_island_railway,71378.0
2021-01-01,subway,41101382.0
2021-02-01,access_a_ride,446034.0
2021-02-01,bridges_and_tunnels,18325306.0
2021-02-01,bus,22875301.0
2021-02-01,lirr,1506979.0
2021-02-01,metro_north,874436.0
2021-02-01,staten_island_railway,66672.0
2021-02-01,subway,39143573.0
2021-03-01,access_a_ride,575774.0
2021-03-01,bridges_and_tunnels,24422791.0
2021-03-01,bus,29700545.0
2021-03-01,lirr,2145813.0
2021-03-01,metro_north,1193444.0
2021-03-01,staten_island_railway,80602.0
2021-03-01,subway,50749540.0
2021-04-01,access_a_ride,577029.0
2021-04-01,bridges_and_tunnels,24980497.0
2021-04-01,bus,30573447.0
2021-04-01,lirr,2248265.0
2021-04-01,metro_north,1318812.0
2021-04-01,staten_island_railway,87093.0
2021-04-01,subway,53261980.0
2021-05-01,access_a_ride,587548.0
2021-05-01,bridges_and_tunnels,26927922.0
2021-05-01,bus,31797784.0
2021-05-01,lirr,2694754.0
2021-05-01,metro_north,1567712.0
2021-05-01,staten_island_railway,91494.0
2021-05-01,subway,58435642.0
2021-06-01,access_a_ride,606724.0
2021-06-01,bridges_and_tunnels,27911778.0
2021-06-01,bus,32745118.0
2021-06-01,lirr,3129252.0
2021-06-01,metro_north,2577124.0
2021-06-01,staten_island_railway,105192.0
2021-06-01,subway,65443761.0
2021-07-01,access_a_ride,592148.0
2021-07-01,bridges_and_tunnels,28107321.0
2021-07-01,bus,32814466.0
2021-07-01,lirr,3314234.0
2021-07-01,metro_north,2710303.0
2021-07-01,staten_island_railway,110529.0
2021-07-01,subway,66940159.0
2021-08-01,access_a_ride,588738.0
2021-08-01,bridges_and_tunnels,28143605.0
2021-08-01,bus,32707261.0
2021-08-01,lirr,3282353.0
2021-08-01,metro_north,2595462.0
2021-08-01,staten_island_railway,112405.0
2021-08-01,subway,66406432.0
2021-09-01,access_a_ride,583472.0
2021-09-01,bridges_and_tunnels,27141285.0
2021-09-01,bus,35736273.0
2021-09-01,lirr,3621793.0
2021-09-01,metro_north,2907323.0
2021-09-01,staten_island_railway,142772.0
2021-09-01,subway,73782781.0
2021-10-01,access_a_ride,613381.0
2021-10-01,bridges_and_tunnels,28154995.0
2021-10-01,bus,38137454.0
2021-10-01,lirr,3913991.0
2021-10-01,metro_north,3326365.0
2021-10-01,staten_island_railway,159120.0
2021-10-01,subway,83447127.0
2021-11-01,access_a_ride,575612.0
2021-11-01,bridges_and_tunnels,26919096.0
2021-11-01,bus,35751726.0
2021-11-01,lirr,4037518.0
2021-11-01,metro_north,3373006.0
2021-11-01,staten_island_railway,160715.0
2021-11-01,subway,82348431.0
2021-12-01,access_a_ride,560623.0
2021-12-01,bridges_and_tunnels,26097408.0
2021-12-01,bus,33762618.0
2021-12-01,lirr,3688380.0
2021-12-01,metro_north,3077661.0
2021-12-01,staten_island_railway,143851.0
2021-12-01,subway,78749438.0
2022-01-01,access_a_ride,467967.0
2022-01-01,bridges_and_tunnels,22104124.0
2022-01-01,bus,28820239.0
2022-01-01,lirr,2806844.0
2022-01-01,metro_north,2253098.0
2022-01-01,staten_island_railway,114512.0
2022-01-01,subway,63734924.0
2022-02-01,access_a_ride,518910.0
2022-02-01,bridges_and_tunnels,23524977.0
2022-02-01,bus,30658017.0
2022-02-01,lirr,3173065.0
2022-02-01,metro_north,2646827.0
2022-02-01,staten_island_railway,127887.0
2022-02-01,subway,70181466.0
2022-03-01,access_a_ride,641793.0
2022-03-01,bridges_and_tunnels,27451595.0
2022-03-01,bus,38160474.0
2022-03-01,lirr,4215882.0
2022-03-01,metro_north,3675165.0
2022-03-01,staten_island_railway,165781.0
2022-03-01,subway,87293930.0
2022-04-01,access_a_ride,622470.0
2022-04-01,bridges_and_tunnels,27469019.0
2022-04-01,bus,35717326.0
2022-04-01,lirr,4109816.0
2022-04-01,metro_north,3703459.0
2022-04-01,staten_island_railway,141518.0
2022-04-01,subway,83273427.0
2022-05-01,access_a_ride,640380.0
2022-05-01,bridges_and_tunnels,28966924.0
2022-05-01,bus,37640891.0
2022-05-01,lirr,4416385.0
2022-05-01,metro_north,3882484.0
2022-05-01,staten_island_railway,155090.0
2022-05-01,subway,87695742.0
2022-06-01,access_a_ride,655987.0
